 m n lenL1 lenS1 Hright1 Hleft1 Area1 CosA1 lenL2 lenS2 Hright2 Hleft2 Area2 CosA2 Dcen Datom Dcenp1 Dcenp2 CosL CosS CosN CosO AreaPJ
    3 1915    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.38165    1.10836    0.25082    1.12979    0.93286    0.96249    1.18564    0.28936   -0.73652    0.29945    0.28456    0.53179    0.05911    0.59766    0.02207
    3 2036    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.43231    1.08136    0.27655    1.14514    0.92256    0.99065    1.58221    0.26827    0.58725   -0.23296    0.83297    0.08449    0.05880   -0.49036    0.05641
    4  260    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.41984    1.08609    0.26338    1.14156    0.90736    0.93296    1.51175    0.21378    0.15734   -0.00071    0.95318    0.94588    0.21833    0.93936    0.21022
    4  268    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.42251    1.07171    0.26699    1.12826    0.90725    0.91347    1.32631    0.40921   -0.71640   -1.04147    0.12029    0.07610   -0.14814   -0.02049   -0.02547
    4  391    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.40536    1.10651    0.24282    1.13461    0.92054    0.93000    1.38495    0.23409   -0.11973   -0.21673   -0.97439   -0.97440   -0.21944    0.99875    0.21264
    4  426    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.37874    1.09704    0.28479    1.14239    0.94322    0.94818    1.41347    0.33764    0.56176   -0.04404   -0.89558   -0.97325   -0.18544    0.83670    0.18599
    4  429    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.40983    1.09748    0.26511    1.13095    0.95077    0.98198    0.52904    0.26132   -0.47317   -0.14185    0.95366    0.93927    0.10882    0.39075    0.11090
    4  519    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.38904    1.09517    0.27808    1.14596    0.92784    0.99496    1.53271    0.42098    0.37861    0.17298    0.82842    0.71991   -0.13417   -0.87477   -0.11679
    4  522    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.40247    1.07500    0.29657    1.15838    0.90120    0.98521    1.39248    0.33118    0.39829    0.07644    0.85821    0.91001    0.08597    0.36160    0.08594
    4  694    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.39105    1.09698    0.22120    1.10140    0.91071    0.99753    0.49054    0.26408   -0.22146    0.46100    0.94703    0.61608   -0.07613   -0.67825   -0.07266
    4  710    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.40355    1.11105    0.27193    1.15620    0.94415    0.99602    1.41021    0.29857   -0.55027    0.24706    0.00476    0.42099   -0.02883    0.25245   -0.00015
    4  768    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.40079    1.09043    0.26719    1.13713    0.92095    0.87797    1.41046    0.25020   -0.34283   -0.44845    0.91810    0.97529    0.16312    0.71250    0.16334
