m n xshort ynoraml zshort anglelong angleshort anglenormal
   16  109    0.43850    0.47568    1.15442    2.06144    1.20560    2.65656
   16  137   -0.65885    0.67197    1.11513    1.31150    0.63890    1.15081
   16  166    0.45631    0.68048    0.79462    1.17745    0.58735    1.33577
   16  274    0.81016    0.36064    0.05366    0.91997    0.94649    0.34077
   16  536   -0.35575    0.31731    0.05274    2.88315    2.55671    0.61277
   16  790    0.31573    0.39950    0.06057    0.51363    2.39940    2.61715
   16  815    0.15716    0.42576    1.47446    1.95846    0.52833    1.88113
   16  826    0.62716    0.15152    0.25461    0.41215    2.67024    2.87721
   16 1080   -0.09963    0.90932    1.27011    1.85535    2.19016    1.06292
   16 1361   -0.08873    0.52764    0.86261    1.21348    0.79352    1.50905
   16 1597   -0.65820    0.64840    0.94166    2.05554    1.26063    2.02881
   16 1634    0.38219    0.73697    1.12289    2.08867    0.57070    2.08776
   16 1760   -0.62137    0.41010    0.85324    1.16614    0.78935    1.45888
   16 1769    0.19834    0.50553    0.23888    0.23511    1.12343    1.14495
   16 1993   -0.73627    0.06013    0.09286    0.21298    0.23183    0.15160
   16 2098    0.88138    0.42593    0.74226    1.23479    1.88626    2.94359
   17  115    0.03919    0.29414    0.82464    1.86148    1.01845    2.35760
   17  360   -0.77959    0.02011    1.01557    1.84403    1.00767    2.14551
   17  945    0.49210    0.28950    0.26216    0.06938    0.19361    0.19611
   17  967    0.73672    0.59147    0.04819    1.06495    2.16559    2.06573
   17 1164    0.41242    0.21276    0.09286    0.35827    2.15231    2.22547
   17 1351   -0.03385    0.57183    0.44967    2.81061    1.70949    1.46156
   17 1551   -0.37513    0.32615    0.67165    0.24107    2.90790    3.06493
   17 1740   -0.39838    0.43908    0.21100    0.08937    0.95748    0.95352
   17 1753    0.12293    0.11050    1.04466    1.40312    2.00509    1.55962
   17 1925    0.67602    0.05068    0.08593    2.87546    0.80664    2.37799
   17 2111   -0.61339    0.29536    0.80979    1.78829    1.66894    1.25154
   18  141    0.62540    0.03312    0.04519    2.81123    1.69700    1.48265
